ETF_Ticker,Current_Positioning,Tactical_Action,Tactical_Weight
MONIFTY500,Tactical Dip,Accumulate Aggressively,Overweight
NIFTYBEES,Capitulation Zone,Gradual Accumulation,Overweight
NIF100BEES,Weak Consolidation,Selective Buying,Neutral
MIDCAPETF,Markup Support,Controlled Accumulation,Neutral
JUNIORBEES,Consolidation,Accumulation on Weakness,Neutral
LIQUIDCASE,Capital Preservation,Maintain Buffer,Overweight
GOLDBEES,Extended Consolidation,Strategic Hold,Neutral
SILVERBEES,Extended Consolidation,Strategic Hold,Neutral
MON100,Climactic Markup,Profit Harvesting,Underweight
MASPTOP50,Mature Markup,Reduce Incremental Exposure,Underweight
MOCAPITAL,Structural Trend,Maintain Tactical Exposure,Neutral
